     acc_x    ,     acc_y    ,     acc_z     
   -0.020752  ,    0.735596  ,   -0.680664  
   -0.021484  ,    0.741455  ,   -0.679443  
   -0.022461  ,    0.739990  ,   -0.678711  
   -0.021973  ,    0.737793  ,   -0.678223  
   -0.023438  ,    0.739990  ,   -0.680420  
   -0.023438  ,    0.736084  ,   -0.680176  
   -0.020264  ,    0.733887  ,   -0.679932  
   -0.019287  ,    0.736084  ,   -0.679443  
   -0.020996  ,    0.737305  ,   -0.679688  
   -0.023926  ,    0.739990  ,   -0.677490  
   -0.024902  ,    0.738037  ,   -0.680664  
   -0.022949  ,    0.737549  ,   -0.681396  
   -0.022705  ,    0.738037  ,   -0.682617  
   -0.023926  ,    0.738770  ,   -0.681396  
   -0.022217  ,    0.736816  ,   -0.684082  
   -0.019775  ,    0.737793  ,   -0.684814  
   -0.021729  ,    0.737549  ,   -0.685059  
   -0.022705  ,    0.739258  ,   -0.684814  
   -0.024902  ,    0.738037  ,   -0.684570  
   -0.022949  ,    0.736816  ,   -0.687988  
   -0.022949  ,    0.737061  ,   -0.687256  
   -0.022705  ,    0.737061  ,   -0.688232  
   -0.020752  ,    0.737549  ,   -0.684814  
   -0.022705  ,    0.736816  ,   -0.685791  
   -0.021484  ,    0.737549  ,   -0.683594  
   -0.021484  ,    0.739014  ,   -0.683105  
   -0.022949  ,    0.736816  ,   -0.686523  
   -0.022949  ,    0.735352  ,   -0.684570  
   -0.022461  ,    0.737549  ,   -0.686523  
   -0.021484  ,    0.738037  ,   -0.684814  
   -0.021973  ,    0.737061  ,   -0.685303  
   -0.021240  ,    0.738525  ,   -0.684814  
   -0.022705  ,    0.736328  ,   -0.683838  
   -0.022949  ,    0.736084  ,   -0.685547  
   -0.021484  ,    0.736084  ,   -0.686523  
   -0.022949  ,    0.735840  ,   -0.683594  
   -0.024902  ,    0.737793  ,   -0.685547  
   -0.022705  ,    0.738281  ,   -0.687988  
   -0.024414  ,    0.738037  ,   -0.686768  
   -0.024658  ,    0.735107  ,   -0.684326  
   -0.022705  ,    0.735107  ,   -0.685547  
   -0.019043  ,    0.738281  ,   -0.685059  
   -0.017090  ,    0.741455  ,   -0.682129  
   -0.021240  ,    0.737793  ,   -0.681152  
   -0.022217  ,    0.738770  ,   -0.683350  
   -0.024414  ,    0.739502  ,   -0.685547  
   -0.025146  ,    0.736816  ,   -0.687256  
   -0.024170  ,    0.737549  ,   -0.687256  
   -0.024658  ,    0.740234  ,   -0.684570  
   -0.022705  ,    0.737793  ,   -0.681641  
   -0.021240  ,    0.735352  ,   -0.683594  
   -0.021973  ,    0.734375  ,   -0.682617  
   -0.021240  ,    0.735352  ,   -0.687256  
   -0.020752  ,    0.736816  ,   -0.685303  
   -0.021484  ,    0.737305  ,   -0.686035  
   -0.022217  ,    0.738037  ,   -0.682861  
   -0.024902  ,    0.739502  ,   -0.685303  
   -0.023193  ,    0.737061  ,   -0.685547  
   -0.023682  ,    0.737793  ,   -0.686279  
   -0.021240  ,    0.737305  ,   -0.683594  
   -0.021484  ,    0.736572  ,   -0.683350  
   -0.022217  ,    0.737793  ,   -0.685547  
   -0.022949  ,    0.736328  ,   -0.686035  
   -0.023926  ,    0.736328  ,   -0.686035  
   -0.020508  ,    0.736816  ,   -0.683838  
   -0.022461  ,    0.736328  ,   -0.684570  
   -0.022217  ,    0.735840  ,   -0.683594  
   -0.022217  ,    0.736328  ,   -0.682861  
   -0.021729  ,    0.738525  ,   -0.685791  
   -0.024658  ,    0.739258  ,   -0.684814  
   -0.022461  ,    0.738037  ,   -0.684082  
   -0.021240  ,    0.738037  ,   -0.683105  
   -0.020752  ,    0.737793  ,   -0.681885  
   -0.022461  ,    0.736328  ,   -0.684570  
   -0.022461  ,    0.731934  ,   -0.682617  
   -0.021484  ,    0.732178  ,   -0.683350  
   -0.018555  ,    0.738281  ,   -0.681885  
   -0.022217  ,    0.738525  ,   -0.680908  
   -0.023193  ,    0.739990  ,   -0.678711  
   -0.023438  ,    0.737793  ,   -0.683105  
   -0.025635  ,    0.738525  ,   -0.686035  
